22:50:47.957 DEBUG [DefaultLocalSearchPhase]     LS step (183), time spent (81182), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1109), picked move ([196] Lochristi Hijfte Meisjes in Vrije ritmiek  &  {Vrije ritmiek meisjes & gemengd om 10:54 [2747] -> Vrije ritmiek meisjes & gemengd om 11:12 [2765]}).
22:50:48.049 DEBUG [DefaultLocalSearchPhase]     LS step (184), time spent (81274), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1139), picked move ([146] Beervelde in Hoofdgilden {Hoofdgilden om 10:42 [2518] -> Hoofdgilden om 11:09 [2545]}).
22:50:48.139 DEBUG [DefaultLocalSearchPhase]     LS step (185), time spent (81364), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1149), picked move ([198] Kruibeke in Vrije ritmiek  &  {Vrije ritmiek meisjes & gemengd om 10:42 [2735] -> Vrije ritmiek meisjes & gemengd om 11:36 [2789]}).
22:50:48.224 DEBUG [DefaultLocalSearchPhase]     LS step (186), time spent (81449), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1141), picked move ([46] Wetteren in Basiswimpelen muziek {Basiswimpelen muziek B om 10:12 [2178] -> Basiswimpelen muziek B om 11:48 [2274]}).
22:50:48.316 DEBUG [DefaultLocalSearchPhase]     LS step (187), time spent (81541), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1132), picked move ([117] Wetteren 2 in Gilden muziekreeks {Gilden muziekreeks B om 08:54 [2348]} <-> [116] Wetteren 1 in Gilden muziekreeks {Gilden muziekreeks B om 09:21 [2375]}).
22:50:48.412 DEBUG [DefaultLocalSearchPhase]     LS step (188), time spent (81637), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1148), picked move ([87] Melsele 2 in Brechts korpsvendelen {Brechts korpsvendelen B om 10:00 [2321]} <-> [86] Melsele 1 in Brechts korpsvendelen {Brechts korpsvendelen B om 09:45 [2306]}).
22:50:48.502 DEBUG [DefaultLocalSearchPhase]     LS step (189), time spent (81727), score (0hard/-8soft),     best score (0hard/-8soft), accepted/selected move count (1000/1153), picked move ([48] Doorslaar 2 in Basiswimpelen muziek {Basiswimpelen muziek B om 08:42 [2088] -> Basiswimpelen muziek B om 09:18 [2124]}).
22:50:48.604 DEBUG [DefaultLocalSearchPhase]     LS step (190), time spent (81829), score (0hard/-6soft), new best score (0hard/-6soft), accepted/selected move count (1000/1120), picked move ([30] Zomergem in Basiswimpelen muziek {Basiswimpelen muziek B om 09:12 [2118] -> Basiswimpelen muziek B om 10:00 [2166]}).
22:50:48.694 DEBUG [DefaultLocalSearchPhase]     LS step (191), time spent (81919), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1137), picked move ([154] Zele Centrum in Keurwimpelen {Keurwimpelen om 09:57 [2504] -> Keurwimpelen om 10:15 [2522]}).
22:50:48.778 DEBUG [DefaultLocalSearchPhase]     LS step (192), time spent (82003), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1158), picked move ([153] Kruibeke in Keurwimpelen {Keurwimpelen om 09:21 [2468] -> Keurwimpelen om 09:57 [2504]}).
22:50:48.862 DEBUG [DefaultLocalSearchPhase]     LS step (193), time spent (82087), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1143), picked move ([71] Nazareth in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 10:24 [2283] -> Bondsreeks meisjes & gemengd om 08:00 [2139]}).
22:50:48.946 DEBUG [DefaultLocalSearchPhase]     LS step (194), time spent (82171), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1144), picked move ([189] Sinaai in Piramide  &  {Piramide meisjes & jongens om 10:00 [2662] -> Piramide meisjes & jongens om 11:00 [2722]}).
22:50:49.031 DEBUG [DefaultLocalSearchPhase]     LS step (195), time spent (82256), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1124), picked move ([111] Stekene 1 in Gilden muziekreeks {Gilden muziekreeks A om 08:36 [2299] -> Gilden muziekreeks A om 08:45 [2308]}).
22:50:49.117 DEBUG [DefaultLocalSearchPhase]     LS step (196), time spent (82342), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1141), picked move ([173] Stekene in Parendans {Parendans om 10:30 [2630] -> Parendans om 11:42 [2702]}).
22:50:49.202 DEBUG [DefaultLocalSearchPhase]     LS step (197), time spent (82427), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1140), picked move ([72] Zele Heikant in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 11:00 [2319] -> Bondsreeks meisjes & gemengd om 10:06 [2265]}).
22:50:49.286 DEBUG [DefaultLocalSearchPhase]     LS step (198), time spent (82511), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1120), picked move ([182] Doorslaar in Piramide  {Piramide gemengd om 11:12 [2703] -> Piramide gemengd om 10:24 [2655]}).
22:50:49.379 DEBUG [DefaultLocalSearchPhase]     LS step (199), time spent (82604), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1113), picked move ([45] Hamme in Basiswimpelen muziek {Basiswimpelen muziek A om 09:54 [2129] -> Basiswimpelen muziek A om 11:48 [2243]}).
22:50:49.471 DEBUG [DefaultLocalSearchPhase]     LS step (200), time spent (82696), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1156), picked move ([20] Wetteren in Basiswimpelen basis {Basiswimpelen basis A om 11:30 [2163] -> Basiswimpelen basis A om 10:54 [2127]}).
22:50:49.561 DEBUG [DefaultLocalSearchPhase]     LS step (201), time spent (82786), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1134), picked move ([160] Nazareth in Kringdans  {Kringdans jongens om 08:48 [2466] -> Kringdans jongens om 10:12 [2550]}).
22:50:49.656 DEBUG [DefaultLocalSearchPhase]     LS step (202), time spent (82881), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1142), picked move ([159] Zomergem in Kringdans  {Kringdans jongens om 11:18 [2616] -> Kringdans jongens om 10:36 [2574]}).
22:50:49.750 DEBUG [DefaultLocalSearchPhase]     LS step (203), time spent (82975), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1131), picked move ([51] Opwijk in Basiswimpelen muziek {Basiswimpelen muziek A om 10:36 [2171] -> Basiswimpelen muziek A om 10:00 [2135]}).
22:50:49.832 DEBUG [DefaultLocalSearchPhase]     LS step (204), time spent (83057), score (0hard/-6soft),     best score (0hard/-6soft), accepted/selected move count (1000/1122), picked move ([141] Beervelde in Hoofdgilden {Hoofdgilden om 11:54 [2590] -> Hoofdgilden om 10:24 [2500]}).
